input_image,bone_mask_image,TP,TN,FP,FN,recall,precision,FPR,FNR,PWC,Jaccard,Dice
dataset\inputs\input00001.dcm,dataset\bone_masks\mask00001.dcm,10882,248029,2597,636,0.9447820802222608,0.8073299206172565,0.010362053418240725,0.05521791977773919,1.2332916259765625,0.7709528869996458,0.8706644797375686
dataset\inputs\input00002.dcm,dataset\bone_masks\mask00002.dcm,6308,252101,764,191,0.9706108632097246,0.8919683257918553,0.0030213750420184683,0.029389136790275428,0.36820838666892863,0.8685116343108908,0.9296293567165279
dataset\inputs\input00003.dcm,dataset\bone_masks\mask00003.dcm,4846,256528,170,600,0.8898273962541314,0.9661084529505582,0.0006622568154017562,0.11017260374586853,0.293731689453125,0.8628917378917379,0.9264003058688587
dataset\inputs\input00004.dcm,dataset\bone_masks\mask00004.dcm,4653,256408,45,1038,0.8176067474960463,0.9904214559386973,0.00017547074902613734,0.1823932525039536,0.4131317138671875,0.8111924686192469,0.8957551256136298
dataset\inputs\input00005.dcm,dataset\bone_masks\mask00005.dcm,6547,254474,652,471,0.932886862353947,0.9094318655368802,0.0025555999780500615,0.067113137646053,0.4283905029296875,0.8535853976531942,0.9210100583808117
dataset\inputs\input00006.dcm,dataset\bone_masks\mask00006.dcm,5405,255282,265,1192,0.8193118083977565,0.95326278659612,0.001036991238402329,0.18068819160224345,0.5558013916015625,0.7876712328767123,0.8812260536398467
dataset\inputs\input00007.dcm,dataset\bone_masks\mask00007.dcm,5102,255289,1045,708,0.8781411359724612,0.8299983731901741,0.004076712414272004,0.12185886402753873,0.6687164306640625,0.7442742523705324,0.8533913188926988
dataset\inputs\input00008.dcm,dataset\bone_masks\mask00008.dcm,3371,255937,323,288,0.9212899699371413,0.9125609095831078,0.0012604386170295794,0.0787100300628587,0.23507323435377944,0.8465595178302362,0.916904664762682
dataset\inputs\input00009.dcm,dataset\bone_masks\mask00009.dcm,4576,253959,120,456,0.9093799682034976,0.9744463373083475,0.0004722940502757016,0.09062003179650238,0.22229855158599982,0.8881987577639752,0.9407894736842105
dataset\inputs\input00010.dcm,dataset\bone_masks\mask00010.dcm,5425,253138,170,313,0.9454513767863367,0.9696157283288651,0.0006711197435533027,0.0545486232136633,0.18645337121592304,0.9182464454976302,0.9573810994441013
dataset\inputs\input00011.dcm,dataset\bone_masks\mask00011.dcm,6351,251728,343,452,0.9335587240923122,0.9487600836570063,0.001360727731472482,0.06644127590768778,0.30709920656381096,0.8887489504617968,0.9410980217826184
dataset\inputs\input00012.dcm,dataset\bone_masks\mask00012.dcm,5932,255121,598,493,0.9232684824902724,0.9084226646248086,0.0023385043739417096,0.07673151750972762,0.4161834716796875,0.8446532820731882,0.9157854110382092
dataset\inputs\input00013.dcm,dataset\bone_masks\mask00013.dcm,6158,254835,578,573,0.9148714901203387,0.9141923990498813,0.002263001491701675,0.08512850987966127,0.4390716552734375,0.8425229169517034,0.9145318185193436
dataset\inputs\input00014.dcm,dataset\bone_masks\mask00014.dcm,4611,255572,456,102,0.9783577339274347,0.9100059206631143,0.0017810551970878184,0.021642266072565246,0.21400546902865294,0.8920487521764365,0.9429447852760736
dataset\inputs\input00015.dcm,dataset\bone_masks\mask00015.dcm,5534,252888,989,148,0.9739528335093277,0.8483826460217692,0.0038955872331877246,0.026047166490672298,0.4380506936765822,0.8295607854894319,0.9068414584186809
dataset\inputs\input00016.dcm,dataset\bone_masks\mask00016.dcm,6378,251382,1238,139,0.9786711677152063,0.8374474789915967,0.004900641279391972,0.021328832284793618,0.5313791546556454,0.8224371373307543,0.9025684568032265
dataset\inputs\input00017.dcm,dataset\bone_masks\mask00017.dcm,5022,255674,1154,294,0.9446952595936795,0.8131476683937824,0.004493279548958836,0.055304740406320545,0.5523681640625,0.7761978361669244,0.8739993038635573
dataset\inputs\input00018.dcm,dataset\bone_masks\mask00018.dcm,4822,254719,118,318,0.9381322957198444,0.9761133603238866,0.00046304108116168374,0.061867704280155644,0.16770714332421716,0.9170787371624194,0.9567460317460318
dataset\inputs\input00019.dcm,dataset\bone_masks\mask00019.dcm,4752,256491,375,526,0.9003410382720728,0.9268578115857227,0.0014599051645605102,0.09965896172792725,0.3437042236328125,0.8406156023350434,0.9134070158577607
dataset\inputs\input00020.dcm,dataset\bone_masks\mask00020.dcm,3454,256983,11,235,0.9362970994849553,0.9968253968253968,4.280255570168953e-05,0.06370290051504472,0.0943674884821795,0.9335135135135135,0.9656136427173609
dataset\inputs\input00021.dcm,dataset\bone_masks\mask00021.dcm,4427,256894,81,742,0.8564519249371252,0.9820319432120674,0.0003152057593151085,0.14354807506287484,0.3139495849609375,0.8432380952380951,0.9149529812958561
